year,title,abstract_url,pdf_url,label
2023,Robust Bayesian Satisficing,https://papers.nips.cc/paper_files/paper/2023/hash/daa098aa8e1fc718943ff1ab7b5b30c9-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2023/hash/daa098aa8e1fc718943ff1ab7b5b30c9-Abstract-Conference.html.pdf,
2023,Neural Ideal Large Eddy Simulation: Modeling Turbulence with Neural Stochastic Differential Equations,https://papers.nips.cc/paper_files/paper/2023/hash/dabaded617b3be96c3ed161498a7d71c-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2023/hash/dabaded617b3be96c3ed161498a7d71c-Abstract-Conference.html.pdf,
2023,On the Generalization Error of Stochastic Mirror Descent for Quadratically-Bounded Losses: an Improved Analysis,https://papers.nips.cc/paper_files/paper/2023/hash/daca83eba0a30a5ff2a3b9c53ff5a976-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2023/hash/daca83eba0a30a5ff2a3b9c53ff5a976-Abstract-Conference.html.pdf,
2023,StableFDG: Style and Attention Based Learning for Federated Domain Generalization,https://papers.nips.cc/paper_files/paper/2023/hash/dae8bdacd265399b193e6b43d44a80f0-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2023/hash/dae8bdacd265399b193e6b43d44a80f0-Abstract-Conference.html.pdf,
2023,MG-ViT: A Multi-Granularity Method for Compact and Efficient Vision Transformers,https://papers.nips.cc/paper_files/paper/2023/hash/daeef96627a461ec43b7567b2930cfde-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2023/hash/daeef96627a461ec43b7567b2930cfde-Abstract-Conference.html.pdf,
2023,Recurrent Temporal Revision Graph Networks,https://papers.nips.cc/paper_files/paper/2023/hash/dafd116ac8c735f149558b79fd48e090-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2023/hash/dafd116ac8c735f149558b79fd48e090-Abstract-Conference.html.pdf,
2023,Recursion in Recursion: Two-Level Nested Recursion for Length Generalization with Scalability,https://papers.nips.cc/paper_files/paper/2023/hash/db178cd03313e23cffb8937e93f0d464-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2023/hash/db178cd03313e23cffb8937e93f0d464-Abstract-Conference.html.pdf,
2023,xTrimoGene: An Efficient and Scalable Representation Learner for Single-Cell RNA-Seq Data,https://papers.nips.cc/paper_files/paper/2023/hash/db68f1c25678f72561ab7c97ce15d912-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2023/hash/db68f1c25678f72561ab7c97ce15d912-Abstract-Conference.html.pdf,
2023,ANPL: Towards Natural Programming with Interactive Decomposition,https://papers.nips.cc/paper_files/paper/2023/hash/dba8fa689ede9e56cbcd4f719def38fb-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2023/hash/dba8fa689ede9e56cbcd4f719def38fb-Abstract-Conference.html.pdf,
2023,Anonymous and Copy-Robust Delegations for Liquid Democracy,https://papers.nips.cc/paper_files/paper/2023/hash/dbb5180957513805ebeea787b8c66ac9-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2023/hash/dbb5180957513805ebeea787b8c66ac9-Abstract-Conference.html.pdf,
2023,Framework and Benchmarks for Combinatorial and Mixed-variable Bayesian Optimization,https://papers.nips.cc/paper_files/paper/2023/hash/dbc4b67c6430c22460623186c3d3fdc2-Abstract-Datasets_and_Benchmarks.html,https://papers.nips.cc/paper_files/paper/2023/hash/dbc4b67c6430c22460623186c3d3fdc2-Abstract-Datasets_and_Benchmarks.html.pdf,
2023,KD-Zero: Evolving Knowledge Distiller for Any Teacher-Student Pairs,https://papers.nips.cc/paper_files/paper/2023/hash/dbc8ce0fdfcd55172d73fb05dbae07fc-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2023/hash/dbc8ce0fdfcd55172d73fb05dbae07fc-Abstract-Conference.html.pdf,
2023,Minimum-Risk Recalibration of Classifiers,https://papers.nips.cc/paper_files/paper/2023/hash/dbd6b295535e44f2b8ec0c3f1da7c509-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2023/hash/dbd6b295535e44f2b8ec0c3f1da7c509-Abstract-Conference.html.pdf,
2023,DynPoint: Dynamic Neural Point For View Synthesis,https://papers.nips.cc/paper_files/paper/2023/hash/dbdc7a9779ce0278c6e43b62c7e97759-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2023/hash/dbdc7a9779ce0278c6e43b62c7e97759-Abstract-Conference.html.pdf,
2023,Data-driven Optimal Filtering for Linear Systems with Unknown Noise Covariances,https://papers.nips.cc/paper_files/paper/2023/hash/dbe8185809cb7032ec7ec6e365e3ed3b-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2023/hash/dbe8185809cb7032ec7ec6e365e3ed3b-Abstract-Conference.html.pdf,
2023,PPi: Pretraining Brain Signal Model for Patient-independent Seizure Detection,https://papers.nips.cc/paper_files/paper/2023/hash/dbeb7e621d4a554069a6a775da0f7273-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2023/hash/dbeb7e621d4a554069a6a775da0f7273-Abstract-Conference.html.pdf,
2023,Unsupervised Polychromatic Neural Representation for CT Metal Artifact Reduction,https://papers.nips.cc/paper_files/paper/2023/hash/dbf02b21d77409a2db30e56866a8ab3a-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2023/hash/dbf02b21d77409a2db30e56866a8ab3a-Abstract-Conference.html.pdf,
2023,DAMEX: Dataset-aware Mixture-of-Experts for visual understanding of mixture-of-datasets,https://papers.nips.cc/paper_files/paper/2023/hash/dc192b3eeffebba21bd1d82f6752b84b-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2023/hash/dc192b3eeffebba21bd1d82f6752b84b-Abstract-Conference.html.pdf,
2023,FourierGNN: Rethinking Multivariate Time Series Forecasting from a Pure Graph Perspective,https://papers.nips.cc/paper_files/paper/2023/hash/dc1e32dd3eb381dbc71482f6a96cbf86-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2023/hash/dc1e32dd3eb381dbc71482f6a96cbf86-Abstract-Conference.html.pdf,
2023,Representation Equivalent Neural Operators: a Framework for Alias-free Operator Learning,https://papers.nips.cc/paper_files/paper/2023/hash/dc35c593e61f6df62db541b976d09dcf-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2023/hash/dc35c593e61f6df62db541b976d09dcf-Abstract-Conference.html.pdf,
2023,Unsupervised Anomaly Detection with Rejection,https://papers.nips.cc/paper_files/paper/2023/hash/dc48c738d3ef8c81b6e968453a84a819-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2023/hash/dc48c738d3ef8c81b6e968453a84a819-Abstract-Conference.html.pdf,
